nom,insee,POPULATION,departement,region,epci
La Chaux,25139,497,25,27,242500320
Maizeray,55311,36,55,44,245501176
Bagard,30027,2599,30,76,200066918
Flaujac-Poujols,46105,732,46,76,244600532
Hères,65219,131,65,76,200072106
Béthencourt-sur-Somme,80097,130,80,32,200070985
Cazaunous,31131,73,31,76,200073146
Marizy-Sainte-Geneviève,02466,131,02,32,200071991
Chantesse,38074,320,38,84,200070431
Villers-le-Tourneur,08479,187,08,44,240800862
Pouy-Roquelaure,32328,124,32,76,243200391
Rachecourt-Suzémont,52413,106,52,44,200068666
Givraines,45157,421,45,24,200066280
Laure-Minervois,11198,1094,11,76,200035715
Pergain-Taillac,32311,311,32,76,243200391
Guidel,56078,11410,56,53,200042174
La Chapelle-Thireuil,79077,436,79,75,200069748
Chartres,28085,38875,28,24,200033181
Semmadon,70486,125,70,27,200036150
Dampniat,19068,757,19,75,200043172
Mérey-sous-Montrond,25375,419,25,27,200068070
Saint-Martin-Lalande,11356,1116,11,76,200035855
Luxe-Sumberraute,64362,397,64,75,200067106
Monchel-sur-Canche,62577,89,62,32,200069672
Wisembach,88526,405,88,44,200071066
Montoulieu,34171,161,34,76,243400736
Tromborn,57681,386,57,44,200067650
Saint-Couat-du-Razès,11338,65,11,76,200071926
Haillicourt,62400,5003,62,32,200072460
Brettnach,57110,448,57,44,200067486
Rebreuve-Ranchicourt,62693,1084,62,32,200072460
Anères,65009,184,65,76,200070829
Aulnoy-sur-Aube,52028,50,52,44,200027308
Charbonnières-les-Varennes,63092,1685,63,84,200070753
Salles,79303,336,79,75,200041994
Malleville-sur-le-Bec,27380,257,27,28,200066413
Le Mesnil-Garnier,50311,232,50,28,200067023
Saint-Arroumex,82156,157,82,76,200066322
La Petite-Fosse,88345,82,88,44,200071066
Gouves,62378,197,62,32,200069482
Saint-Ambroix,18198,374,18,24,243600236
Le Pian-Médoc,33322,6442,33,75,243301447
Monchiet,62578,97,62,32,200069482
Orvilliers-Saint-Julien,10274,320,10,44,241000488
Vadenay,51587,251,51,44,200066876
Anan,31008,242,31,76,200072643
Brives-Charensac,43041,4103,43,84,200073419
Nointel,95452,798,95,11,249500489
Ingwiller,67222,4106,67,44,200067783
Vernie,72370,345,72,52,200072700
Lesse,57395,208,57,44,245701206
Saint-Perreux,56232,1185,56,53,243500741
Besson,03026,774,03,84,200071140
Gissey-sur-Ouche,21300,355,21,27,200039055
Bévy,21070,138,21,27,200070894
Oriolles,16251,276,16,75,200029734
Saint-Martin-des-Champs,78565,313,78,11,247800550
Châtillon-en-Vendelais,35072,1700,35,53,200039022
Couffoulens,11102,611,11,76,200035715
Saint-Gratien,80704,374,80,32,200070951
Saint-Alban-Leysse,73222,5687,73,84,200069110
Incheville,76374,1271,76,28,247600588
Saint-Cosme,68293,95,68,44,200066033
Wavrechain-sous-Faulx,59652,359,59,32,200042190
Charpont,28082,563,28,24,200040277
Châtillon-sur-Cluses,74064,1258,74,84,200034098
Roquefère,11319,75,11,76,200042463
Viger,65470,133,65,76,200069300
Hadigny-les-Verrières,88224,405,88,44,200068757
Villepot,44218,668,44,52,200072726
Belfort-sur-Rebenty,11031,34,11,76,200043776
Yzernay,49381,1850,49,52,200071678
Molliens-Dreuil,80554,901,80,32,200071181
Bourg-de-Bigorre,65105,187,65,76,200070787
Aumes,34017,485,34,76,243400819
Favrieux,78231,145,78,11,200059889
Agneaux,50002,4036,50,28,200066389
Villiers-en-Bois,79350,126,79,75,200069755
Loures-Barousse,65287,614,65,76,200070829
Saint-Martin-de-Sescas,33444,618,33,75,200044394
Channay-sur-Lathan,37055,824,37,24,200072981
La Chapelle-sous-Uchon,71096,179,71,27,200070530
Engomer,09111,284,09,76,200067940
Saint-Vougay,29271,903,29,53,242900751
Saint-Cyr-de-Salerne,27527,206,27,28,200066413
Saint-Maurice-sur-Aveyron,45292,859,45,24,200067676
Notre-Dame-de-Vaulx,38280,510,38,84,200040657
Neuilly-le-Dien,80589,95,80,32,200070936
Camplong,34049,236,34,76,200042646
Épargnes,17152,866,17,75,241700640
Chambonchard,23046,82,23,75,200067544
Exideuil,16134,1037,16,75,200072049
Cliponville,76182,271,76,28,200010700
Autoreille,70039,320,70,27,247000698
Glos-sur-Risle,27288,581,27,28,200065787
Saint-Léger-de-Peyre,48168,182,48,76,244800470
Les Pieux,50402,3147,50,28,200067205
Walheim,68356,920,68,44,200066041
Les Monceaux,14435,175,14,28,200069532
Saint-Romain-d'Urfé,42282,267,42,84,244200820
Landifay-et-Bertaignemont,02403,280,02,32,240200444
Abergement-le-Petit,39003,34,39,27,200071595
Villepreux,78674,10000,78,11,200058782
Corlay,22047,959,22,53,200067460
Castellare-di-Mercurio,2B078,32,2B,94,200073138
Loscouët-sur-Meu,22133,646,22,53,200067460
Canet-en-Roussillon,66037,11965,66,76,200027183
Saint-Phal,10359,527,10,44,200071041
Caulaincourt,02144,143,02,32,240200493
Haussez,76345,272,76,28,200069730
Ligardes,32212,216,32,76,243200417
Ronvaux,55439,90,55,44,245501176
Dainville-Bertheléville,55142,122,55,44,200066108
Pierrepont,02600,401,02,32,240200469
Saint-Paul-aux-Bois,02686,394,02,32,200071769
Flize,08173,1166,08,44,200041630
Saint-Benin-des-Bois,58233,170,58,27,200067908
La Chapelle-Bouëxic,35057,1406,35,53,200043990
Busseaut,21117,49,21,27,242101434
La Londe,76391,2310,76,28,200023414
Neunkirchen-lès-Bouzonville,57502,345,57,44,200067486
Le Vigan,30350,3896,30,76,243000270
Menetou-Salon,18145,1627,18,24,200066330
Prat,22254,1119,22,53,200065928
Saint-Pierre-de-Semilly,50538,444,50,28,200066389
Lavelanet-de-Comminges,31286,621,31,76,200066819
Morgny-en-Thiérache,02526,87,02,32,240200634
Labergement-lès-Seurre,21332,1000,21,27,242101509
Laàs,64287,131,64,75,200067288
Rivières,30215,336,30,76,200035129
Couloutre,58089,210,58,27,200067916
Montloué,02519,187,02,32,240200634
Codolet,30084,680,30,76,200034692
Saulnières,35321,736,35,53,200070662
Saint-Meslin-du-Bosc,27572,289,27,28,200066405
Carrère,64167,215,64,75,200067239
Sainte-Cécile-les-Vignes,84106,2445,84,93,248400160
Bosc-Bérenger,76119,174,76,28,200070068
Villegouge,33548,1262,33,75,243301397
Saint-Georges-de-Mons,63349,1998,63,84,200072098
Herbécourt,80430,212,80,32,200037059
Kédange-sur-Canner,57358,1085,57,44,245701354
Montigny-Saint-Barthélemy,21430,85,21,27,200071017
Maisonnais-sur-Tardoire,87091,398,87,75,200066520
Bazoilles-et-Ménil,88043,122,88,44,200068682
Herpy-l'Arlésienne,08225,195,08,44,200043156
Guéreins,01183,1429,01,84,200070118
Condé-Sainte-Libiaire,77125,1405,77,11,247700438
Genas,69277,12741,69,84,246900575
Saint-Germain-de-la-Rivière,33414,383,33,75,243301397
Priziac,56182,986,56,53,245614417
Fabrègues,34095,6739,34,76,243400017
Saint-André-de-Buèges,34238,46,34,76,200022986
Pouzols-Minervois,11296,518,11,76,241100593
Lucarré,64357,58,64,75,200067296
Rouziers-de-Touraine,37204,1267,37,24,200073237
La Villeneuve-lès-Charleville,51626,114,51,44,245100888
Saint-Agnant-près-Crocq,23178,197,23,75,200067593
Corribert,51174,57,51,44,200066850
Saint-Germain,54475,160,54,44,200067643
Juziers,78327,3789,78,11,200059889
Hourges,51294,81,51,44,200067213
Auzouer-en-Touraine,37010,2185,37,24,243700499
Tanville,61480,219,61,28,200035111
Médréac,35171,1810,35,53,200038990
Saint-Quentin-du-Dropt,47272,198,47,75,200036523
Cravencères,32113,94,32,76,243200409
Vanzay,79338,210,79,75,200069755
Huiron,51295,302,51,44,200034718
Saint-Pierre-la-Bruyère,61448,453,61,28,200068435
La Chapelle-d'Aunainville,28074,281,28,24,200069953
Chenevrey-et-Morogne,70150,300,70,27,200041887
Labeuvrière,62479,1684,62,32,200072460
Menars,41134,633,41,24,200030385
Saint-Félix-de-Lodez,34254,1164,34,76,243400355
Espéraza,11129,1946,11,76,200043776
