insee_com,siren_epci,usage_2021,surfaces_ha
01052,200069193,A_h,31.85018175
01052,200069193,A_i,40.90567200
01052,200069193,C,888.50
01052,200069193,C_t,374.75
01052,200069193,C_ve,0.150
01052,200069193,C_vi,0.600
01052,200069193,F_f,274.25
01052,200069193,F_m,29.00
01052,200069193,F_p,13.75
01052,200069193,H_a,678.50
01052,200069193,H_n,29.00
01052,200069193,P_a,2.25
01052,200069193,P_h,246.00
01052,200069193,P_m,2.50
01053,200071751,A_a,65.07974800
01053,200071751,A_h,481.68781300
01053,200071751,A_i,984.23243900
01053,200071751,C,276.50
01053,200071751,C_t,81.00
01053,200071751,F_c,88.25
01053,200071751,F_f,274.25
01053,200071751,F_m,28.75
01053,200071751,H_a,37.50
01053,200071751,P_a,3.50
01053,200071751,P_h,80.50
01053,200071751,P_m,0.50
01054,240100883,A_a,2.98880250
01054,240100883,A_h,46.19104200
01054,240100883,A_i,60.32004600
01054,240100883,C,629.25
01054,240100883,C_t,58.50
01054,240100883,C_ve,0.050
01054,240100883,C_vi,0.200
01054,240100883,F_f,73.75
01054,240100883,F_m,5.50
01054,240100883,P_a,0.25
01054,240100883,P_h,25.25
01056,200029999,A_a,1.21875000
01056,200029999,A_h,12.18750000
01056,200029999,A_i,25.59375000
01056,200029999,C,115.75
01056,200029999,C_t,20.75
01056,200029999,C_ve,0.0000000000000000000000
01056,200029999,C_vi,66.5000000000000000000000
01056,200029999,F_c,17.50
01056,200029999,F_f,1093.00
01056,200029999,F_m,47.25
01056,200029999,H_a,0.25
01056,200029999,P_a,10.00
01056,200029999,P_h,259.50
01056,200029999,P_m,5.50
01057,200071371,A_a,1.38264200
01057,200071371,A_h,37.10118725
01057,200071371,A_i,29.26617075
01057,200071371,C,209.25
01057,200071371,C_t,13.00
01057,200071371,C_ve,1.50
01057,200071371,F_f,155.25
01057,200071371,F_m,4.00
01057,200071371,F_p,31.50
01057,200071371,H_a,38.25
01057,200071371,P_a,0.25
01057,200071371,P_h,244.00
01057,200071371,P_m,4.00
01058,200040350,A_a,7.76276100
01058,200040350,A_h,74.83337075
01058,200040350,A_i,29.65386825
01058,200040350,C,230.75
01058,200040350,C_t,16.50
01058,200040350,C_ve,0.100
01058,200040350,C_vi,0.400
01058,200040350,F_c,1.25
01058,200040350,F_f,438.75
01058,200040350,F_m,6.75
01058,200040350,F_p,47.50
01058,200040350,H_a,161.00
01058,200040350,P_a,4.50
01058,200040350,P_h,55.25
01058,200040350,P_m,49.75
01059,200040350,A_a,2.46729600
01059,200040350,A_h,6.95328000
01059,200040350,A_i,14.57944800
01059,200040350,C,105.00
01059,200040350,C_t,68.25
01059,200040350,F_c,283.25
01059,200040350,F_f,46.50
01059,200040350,F_m,209.75
01059,200040350,P_a,3.25
01059,200040350,P_h,251.50
01059,200040350,P_m,4.25
01060,200042935,A_a,3.87138675
01060,200042935,A_h,33.14867850
01060,200042935,A_i,38.22993475
01060,200042935,C,185.75
01060,200042935,C_t,13.25
01060,200042935,F_c,759.00
01060,200042935,F_f,159.50
01060,200042935,F_m,508.75
01060,200042935,H_a,6.75
01060,200042935,H_n,30.50
01060,200042935,P_a,7.75
01060,200042935,P_h,657.50
01061,200040350,A_a,10.41736275
01061,200040350,A_h,76.85740350
01061,200040350,A_i,40.97523375
01061,200040350,C,203.75
01061,200040350,C_t,33.00
01061,200040350,F_c,0.25
01061,200040350,F_f,151.00
01061,200040350,F_m,0.75
01061,200040350,H_a,26.75
01061,200040350,O,1.00
01061,200040350,P_a,1.75
01061,200040350,P_h,126.75
01061,200040350,P_m,16.75
01062,240100610,A_a,0.77483700
01062,240100610,A_h,40.55048900
01062,240100610,A_i,44.42467400
01062,240100610,C,404.25
01062,240100610,C_t,37.25
01062,240100610,F_f,177.75
01062,240100610,F_m,6.50
01062,240100610,P_a,2.25
01062,240100610,P_h,53.25
01063,200042935,A_a,0.00000000
01063,200042935,A_h,38.36420175
01063,200042935,A_i,50.88579825
01063,200042935,C,62.75
01063,200042935,C_t,28.50
01063,200042935,F_c,93.75
01063,200042935,F_f,41.25
01063,200042935,F_m,63.75
01063,200042935,H_a,3.25
01063,200042935,P_a,2.00
01063,200042935,P_h,64.25
01063,200042935,P_m,0.25
01064,240100883,A_a,6.36342300
01064,240100883,A_h,69.41856300
01064,240100883,A_i,73.46801400
01064,240100883,C,203.50
01064,240100883,C_t,39.50
01064,240100883,C_ve,0.0000000000000000000000
01064,240100883,C_vi,29.7500000000000000000000
01064,240100883,F_f,583.75
01064,240100883,F_m,37.25
01064,240100883,H_a,66.25
01064,240100883,P_a,6.00
01064,240100883,P_h,88.50
01064,240100883,P_m,26.75
01065,200071751,A_a,14.58677025
01065,200071751,A_h,95.31648525
01065,200071751,A_i,58.34674450
01065,200071751,C,437.75
01065,200071751,C_t,181.50
01065,200071751,F_c,1.00
01065,200071751,F_f,98.25
01065,200071751,F_m,6.00
01065,200071751,F_p,11.00
01065,200071751,H_a,28.50
01065,200071751,O,10.00
01065,200071751,P_a,0.25
01065,200071751,P_h,81.75
01066,200040350,A_a,3.26057875
01066,200040350,A_h,5.37036500
01066,200040350,A_i,27.61905625
01066,200040350,C,27.50
01066,200040350,C_t,28.75
01066,200040350,F_c,1.50
01066,200040350,F_f,884.75
01066,200040350,F_m,4.50
01066,200040350,H_a,7.75
01066,200040350,H_n,10.75
01066,200040350,O,0.25
01066,200040350,P_a,8.25
01066,200040350,P_h,77.25
01066,200040350,P_m,14.00
01067,200042935,A_a,4.85128800
01067,200042935,A_h,26.33540700
01067,200042935,A_i,41.81330500
01067,200042935,C,49.75
01067,200042935,C_t,10.50
01067,200042935,F_c,88.25
01067,200042935,F_f,285.50
01067,200042935,F_m,281.75
01067,200042935,H_a,0.50
01067,200042935,P_a,5.00
01067,200042935,P_h,221.50
01067,200042935,P_m,0.25
01068,200029999,A_a,2.24052500
01068,200029999,A_h,21.40927100
01068,200029999,A_i,35.35020400
01068,200029999,C,59.50
01068,200029999,C_t,6.25
01068,200029999,C_ve,0.0000000000000000000000
01068,200029999,C_vi,83.7500000000000000000000
01068,200029999,F_c,51.25
01068,200029999,F_f,746.00
01068,200029999,F_m,125.50
01068,200029999,P_a,7.00
01068,200029999,P_h,54.25
01068,200029999,P_m,14.25
01069,200071751,A_a,14.07070500
01069,200071751,A_h,72.36408000
01069,200071751,A_i,112.31501625
01069,200071751,C,500.00
01069,200071751,C_t,110.75
01069,200071751,C_ve,4.800
01069,200071751,C_vi,19.200
01069,200071751,F_c,198.00
01069,200071751,F_f,296.25
01069,200071751,F_m,61.75
01069,200071751,H_a,30.00
01069,200071751,O,13.50
01069,200071751,P_a,5.00
01069,200071751,P_h,160.50
01069,200071751,P_m,3.00
01071,240100750,A_a,4.90962850
01071,240100750,A_h,101.46380950
01071,240100750,A_i,145.37681375
01071,240100750,C,235.25
01071,240100750,C_t,23.50
01071,240100750,F_f,40.75
01071,240100750,F_m,5.25
01071,240100750,F_p,3.25
01071,240100750,H_a,2.50
01071,240100750,P_a,0.25
01071,240100750,P_h,76.50
01071,240100750,P_m,1.50
01072,200071751,A_a,19.89381600
01072,200071751,A_h,121.54690800
01072,200071751,A_i,137.55899700
01072,200071751,C,95.00
01072,200071751,C_t,18.00
01072,200071751,C_vi,2.00
01072,200071751,F_c,64.25
01072,200071751,F_f,248.75
01072,200071751,F_m,61.75
01072,200071751,H_a,0.50
01072,200071751,P_a,1.75
01072,200071751,P_h,148.25
01072,200071751,P_m,4.00
01073,200040350,A_a,6.13996200
01073,200040350,A_h,65.08317050
01073,200040350,A_i,54.27686750
01073,200040350,C,392.25
01073,200040350,C_t,63.00
01073,200040350,C_ve,0.3671875000000000000000
01073,200040350,C_vi,11.3828125000000000000000
01073,200040350,F_f,701.25
01073,200040350,F_m,38.25
01073,200040350,F_p,106.25
01073,200040350,H_a,26.50
01073,200040350,H_n,88.75
01073,200040350,P_a,6.75
01073,200040350,P_h,388.75
01073,200040350,P_m,37.50
01074,200069193,A_a,10.66754100
01074,200069193,A_h,80.51471300
01074,200069193,A_i,99.81774600
01074,200069193,C,1286.00
01074,200069193,C_t,425.75
01074,200069193,C_ve,0.25
01074,200069193,F_c,0.75
01074,200069193,F_f,538.25
01074,200069193,F_m,44.00
