siren,SURFACE,VOLUME (m3∙ha-1),STOCK_CARBONE (tC),carbonDensity,PRODUCTION (m3∙ha-1∙an-1),PRELEVEMENT (m3∙ha-1∙an-1),MORTALITE (m3∙ha-1∙an-1),TX_PRELEV,BILAN_M3 (m3∙ha-1∙an-1),BILAN_CARB (tC∙an-1),BILAN_CARB (tC∙ha-1∙an-1),BILAN_CO2 (tCO2∙an-1),BILAN_CO2_HA (tCO2∙ha-1∙an-1),Fexp (VOL -> CARB),
200039758,62.2,168.5083947,3369.588026,54.17344094,12.37588855,8.20555535,0.499704117,0.690925221,3.670629082,65.53771933,1.053661082,-240.3049709,-3.863423969,0.321488084,
200039808,3.7,174.4933166,191.6483208,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,3.77608344,1.020563092,-13.84563928,-3.742064671,0.296841418,
200039824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
200039832,3,174.4933166,155.3905304,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,3.061689276,1.020563092,-11.22619401,-3.742064671,0.296841418,
200039857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
200039865,70.2,168.5083947,3802.975554,54.17344094,12.37588855,8.20555535,0.499704117,0.690925221,3.670629082,73.96700799,1.053661082,-271.2123626,-3.863423969,0.321488084,
200039907,98.6,168.5083947,5341.501276,54.17344094,12.37588855,8.20555535,0.499704117,0.690925221,3.670629082,103.8909827,1.053661082,-380.9336033,-3.863423969,0.321488084,
200039915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
200039931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
200039949,8.7,168.5083947,471.3089362,54.17344094,12.37588855,8.20555535,0.499704117,0.690925221,3.670629082,9.166851417,1.053661082,-33.61178853,-3.863423969,0.321488084,
200040038,506.1,168.5083947,27417.17846,54.17344094,12.37588855,8.20555535,0.499704117,0.690925221,3.670629082,533.2578738,1.053661082,-1955.278871,-3.863423969,0.321488084,
200040095,225,174.4933166,11654.28978,51.79684346,17.95437798,14.11320237,0.225034212,0.796036365,3.616141394,229.6266957,1.020563092,-841.9645509,-3.742064671,0.296841418,
