code,Commune,Nom unique,nom,nature,nombreCommunes,populationTotale
200057859,,,CA Coeur d'Essonne Agglomération,CA,21,198060
200057958,,,CA Paris - Vallée de la Marne,CA,12,229695
200058360,,,CC Entre Beauce et Perche,CC,33,22063
200058477,,,CA Val d'Yerres Val de Seine,CA,9,178011
200058485,,,CA Val Parisis,CA,15,273000
200058519,,,CA Saint-Germain Boucles de Seine,CA,20,341945
200058782,,,CA de Saint-Quentin-en-Yvelines,CA,12,231606
200059228,,,CA Grand Paris Sud Seine Essonne Sénart,CA,24,350953
200059392,,,CC Bièvre Isère,CC,54,55274
200059400,,,CC Porte Océane du Limousin,CC,13,26491
200059889,,,CU Grand Paris Seine et Oise,CU,73,413904
200060010,,,CA Mauges Communauté,CA,6,123455
200065563,,,CC Normandie-Cabourg-Pays d'Auge,CC,39,31762
200065589,,,CC Val Ès Dunes,CC,18,17825
200065597,,,CU Caen la Mer,CU,50,270557
200065647,,,CA Pays de Montbéliard Agglomération,CA,72,143494
200065787,,,CC de Pont-Audemer / Val de Risle,CC,26,28593
200065886,,,CA Loire Forez Agglomération Lfa,CA,88,111207
200065894,,,CC de Forez-Est,CC,42,64413
200065928,,,CA Lannion-Trégor Communauté,CA,60,104085
200066009,,,CA Mulhouse Alsace Agglomération,CA,39,277640
200066017,,,CC Lieuvin Pays d'Auge,CC,47,18859
200066025,,,CC Pays Rhin - Brisach,CC,29,33414
200066033,,,CC Sud Alsace Largue,CC,44,22549
200066041,,,CC Sundgau,CC,64,48634
200066058,,,CA Saint-Louis Agglomération,CA,40,79063
200066108,,,CC Haute Saulx et Perthois-Val d'Ornois,CC,52,17484
200066116,,,CC Argonne-Meuse,CC,38,7490
200066124,,,CA Gaillac-Graulhet,CA,61,74654
200066132,,,CC du Pays de Stenay et du Val Dunois,CC,41,10444
200066140,,,CC de l'Aire à l'Argonne,CC,47,6763
200066157,,,CC de Commercy - Void - Vaucouleurs,CC,54,23647
200066165,,,CC Val de Meuse - Voie Sacrée,CC,25,9251
200066173,,,CC de Damvillers Spincourt,CC,41,8575
200066223,,,CC Arize Lèze,CC,27,10859
200066231,,,CC des Portes d'Ariège Pyrénées,CC,35,40471
200066280,,,CC du Pithiverais,CC,31,30104
200066322,,,CC Terres des Confluences,CC,22,41874
200066330,,,CC Terres du Haut-Berry,CC,29,25277
200066348,,,CC Minervois Saint-Ponais Orb-Jaur,CC,36,15149
200066355,,,CA du Bassin de Thau,CA,14,126613
200066363,,,CC de la Haute Ariège,CC,56,7498
200066371,,,CC Causses et Vallée de la Dordogne,CC,79,47236
200066389,,,CA Saint-Lô Agglo,CA,63,79404
200066405,,,CC Roumois Seine,CC,56,52162
200066413,,,CC Intercom Bernay Terres de Normandie,CC,78,57668
200066462,,,CC Interco Normandie Sud Eure,CC,45,40547
200066512,,,CC Élan Limousin Avenir Nature,CC,24,28313
200066520,,,CC Ouest Limousin,CC,16,11879
200066553,,,CC des Monts de Lacaune et de la Montagne du Haut Languedoc,CC,19,8153
200066561,,,CC Sidobre Vals et Plateaux,CC,17,13225
200066587,,,CC des Monts du Lyonnais,CC,32,35999
200066603,,,CC du Pays de Lubersac-Pompadour,CC,12,7805
200066637,,,CC Hautes Terres,CC,39,13577
200066645,,,CC Vézère-Monédières-Millesources,CC,19,5187
200066652,,,CC Grand Sud Tarn et Garonne,CC,26,42461
200066660,,,CC de Saint-Flour,CC,53,24763
200066678,,,CC de la Châtaigneraie Cantalienne,CC,51,22030
200066710,,,CC Cingal-Suisse Normande,CC,47,24302
200066728,,,CC Vallées de l'Orne et de l'Odon,CC,23,25126
200066744,,,CC Haute-Corrèze Communauté,CC,71,35013
200066751,,,CC Xaintrie Val'dordogne,CC,30,12047
200066769,,,CC Midi Corrézien,CC,35,13548
200066777,,,CC Ploërmel Communauté,CC,32,43952
